Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
27,1,9,8,448,0.9901519622022947,0.9559056783335096,0.9564398355733251,0.9559056783335096,0.9811666666666666,0.11929035186767578,3302,5738,262,155
28,1,9,9,504,0.9901227943303441,0.9529449085333616,0.9538078220716648,0.9529449085333616,0.9846666666666667,0.10870814323425293,3307,5705,295,150
29,1,9,10,560,0.9913835695689904,0.9550597441048958,0.9559971075523989,0.9550597441048958,0.9895,0.1246650218963623,3322,5710,290,135
30,1,9,12,672,0.9925460900588178,0.9589721899122343,0.9595389094494039,0.9589721899122343,0.9936666666666667,0.1495981216430664,3320,5749,251,137
31,1,10,6,288,0.9887496866261691,0.9520989743047478,0.9529504982159311,0.9520989743047478,0.9628333333333333,0.06248641014099121,3302,5702,298,155
32,1,10,8,384,0.9928386365827789,0.9606640583694618,0.9613586690666375,0.9606640583694618,0.9803333333333333,0.10029935836791992,3337,5748,252,120
33,1,10,9,432,0.9929003471217818,0.9618272179338057,0.9624584182298418,0.9618272179338057,0.9848333333333333,0.08208608627319336,3339,5757,243,118
34,1,10,10,480,0.9939745444026612,0.9638363117267632,0.9644614792065108,0.9638363117267632,0.988,0.07810688018798828,3349,5766,234,108
35,1,10,12,576,0.9945962298717577,0.964682245955377,0.9653481584362374,0.964682245955377,0.9931666666666666,0.1186835765838623,3356,5767,233,101
36,1,14,6,120,0.9628712756725484,0.9109654224384054,0.9126557035265916,0.9109654224384054,0.9216666666666666,0.031916141510009766,3130,5485,515,327
37,1,14,8,160,0.9821405843216662,0.9402558951041556,0.9422369168539209,0.9402558951041556,0.9505,0.03590536117553711,3292,5600,400,165
38,1,14,9,180,0.9829489923826054,0.943110923125727,0.9445824864673071,0.943110923125727,0.9548333333333333,0.035902976989746094,3286,5633,367,171
39,1,14,10,200,0.9865222254363128,0.9485037538331395,0.9494757738786801,0.9485037538331395,0.9598333333333333,0.04787254333496094,3290,5680,320,167
40,1,14,12,240,0.9890517307877736,0.9535793592048218,0.9545666077163858,0.9535793592048218,0.9683333333333334,0.06682562828063965,3317,5701,299,140
41,2,4,6,6840,0.9988652974640826,0.9864650523421804,0.9864909646074859,0.9864650523421804,1.0,1.4567499160766602,3403,5926,74,54
42,2,4,8,9120,0.9991630990261305,0.9874167283493709,0.9874545620531219,0.9874167283493709,1.0,1.831265926361084,3411,5927,73,46
43,2,4,9,10260,0.9990763185806576,0.986253568785027,0.9862762825246874,0.986253568785027,1.0,1.8255484104156494,3401,5926,74,56
44,2,4,10,11400,0.9991197088033941,0.9878396954636777,0.9878852351572501,0.9878396954636777,1.0,2.0709304809570312,3415,5927,73,42
45,2,4,12,13680,0.999240622890753,0.9886856296922915,0.9887432882890973,0.9886856296922915,1.0,2.403022289276123,3422,5928,72,35
46,2,5,6,3960,0.9983766753447112,0.9830813154277255,0.9831655318816775,0.9830813154277255,1.0,0.6588728427886963,3398,5899,101,59
47,2,5,8,5280,0.9985733776877833,0.9838215078777625,0.9838651467326635,0.9838215078777625,1.0,0.9041132926940918,3394,5910,90,63
48,2,5,9,5940,0.9986218301031724,0.9844559585492227,0.9845456477088669,0.9844559585492227,1.0,1.1283602714538574,3406,5904,96,51
49,2,5,10,6600,0.9987546523961046,0.9848789256635296,0.9849449297960509,0.9848789256635296,1.0,1.153529405593872,3404,5910,90,53
50,2,5,12,7920,0.9988962491563013,0.9854076345564132,0.9855102494332367,0.9854076345564132,1.0,1.3567800521850586,3413,5906,94,44
51,2,6,6,2592,0.9985827306913508,0.9854076345564132,0.9854751094868351,0.9854076345564132,1.0,0.4489147663116455,3407,5912,88,50
52,2,6,8,3456,0.999150997975123,0.9868880194564873,0.9869169862233534,0.9868880194564873,1.0,0.604616641998291,3406,5927,73,51
53,2,6,9,3888,0.9990412689229582,0.9865707941207571,0.9866186775480273,0.9865707941207571,1.0,0.7059023380279541,3409,5921,79,48
54,2,6,10,4320,0.9991064988911388,0.9866765358993338,0.9867411564519512,0.9866765358993338,1.0,0.749528169631958,3413,5918,82,44
55,2,6,12,5184,0.9992606306045705,0.9870995030136407,0.9871486658225523,0.9870995030136407,1.0,0.9067435264587402,3412,5923,77,45
56,2,7,6,1920,0.9979075306142127,0.9800148038490007,0.980136730022263,0.9800148038490007,0.9998333333333334,0.37305521965026855,3388,5880,120,69
57,2,7,8,2560,0.9983461575547199,0.9824468647562652,0.9825209999015645,0.9824468647562652,1.0,0.4285433292388916,3393,5898,102,64
58,2,7,9,2880,0.9982382123228233,0.9829755736491488,0.9831097951320437,0.9829755736491488,1.0,0.5006818771362305,3405,5891,109,52
59,2,7,10,3200,0.9984342879182336,0.9831870572063022,0.983327959999923,0.9831870572063022,1.0,0.5645046234130859,3407,5891,109,50
60,2,7,12,3840,0.9988300549609487,0.9850904092206831,0.9852247935625387,0.9850904092206831,1.0,0.7121872901916504,3416,5900,100,41
61,2,8,6,1512,0.9978415292642947,0.9817066723062282,0.981758541593081,0.9817066723062282,0.9998333333333334,0.27193713188171387,3385,5899,101,72
62,2,8,8,2016,0.9984693857872915,0.9830813154277255,0.9831485433612396,0.9830813154277255,1.0,0.34828734397888184,3395,5902,98,62
63,2,8,9,2268,0.9982997300163918,0.981389446970498,0.981503822758,0.981389446970498,1.0,0.3847200870513916,3394,5887,113,63
64,2,8,10,2520,0.998704464371806,0.9836100243206091,0.9836585987315944,0.9836100243206091,1.0,0.4629781246185303,3394,5908,92,63
65,2,8,12,3024,0.99875171150323,0.9830813154277255,0.9831841639173813,0.9830813154277255,1.0,0.6466872692108154,3401,5896,104,56
66,2,9,6,1008,0.9955485006267476,0.9698635931056361,0.9702638350224262,0.9698635931056361,0.9916666666666667,0.17183613777160645,3364,5808,192,93
67,2,9,8,1344,0.9966997878700222,0.9743047478058581,0.9745694121090342,0.9743047478058581,0.9963333333333333,0.3110489845275879,3375,5839,161,82
68,2,9,9,1512,0.9964959020345194,0.9711324944485566,0.9715257171504937,0.9711324944485566,0.9968333333333333,0.2698218822479248,3370,5814,186,87
69,2,9,10,1680,0.9967536881689326,0.9737760389129745,0.974027868085725,0.9737760389129745,0.9983333333333333,0.3310995101928711,3371,5838,162,86
70,2,9,12,2016,0.9971110789702055,0.9753621655916253,0.9755556615981397,0.9753621655916253,0.9995,0.39873790740966797,3373,5851,149,84
71,2,10,6,840,0.9979295149937325,0.979909062070424,0.980134266888506,0.979909062070424,0.9933333333333333,0.1573774814605713,3400,5867,133,57
72,2,10,8,1120,0.9982821328705043,0.9801205456275774,0.9803265153848795,0.9801205456275774,0.9961666666666666,0.1941673755645752,3399,5870,130,58
73,2,10,9,1260,0.9982577379230546,0.9811779634133446,0.9813795678162585,0.9811779634133446,0.9985,0.23663783073425293,3404,5875,125,53
74,2,10,10,1400,0.9983895959888149,0.981389446970498,0.9816082252202116,0.981389446970498,0.9986666666666667,0.26671862602233887,3407,5874,126,50
75,2,10,12,1680,0.99850274804744,0.9804377709633076,0.9807249446893028,0.9804377709633076,0.9995,0.28163647651672363,3409,5863,137,48
76,2,14,6,288,0.9893096615562627,0.9520989743047478,0.9530418460891628,0.9520989743047478,0.9641666666666666,0.046869516372680664,3307,5697,303,150
77,2,14,8,384,0.9939243081670043,0.9614042508194988,0.962271680045706,0.9614042508194988,0.9738333333333333,0.062483787536621094,3351,5741,259,106
78,2,14,9,432,0.9945278179539099,0.9635190863910331,0.9643517995852516,0.9635190863910331,0.975,0.06682515144348145,3360,5752,248,97
79,2,14,10,480,0.9949823546427539,0.9656339219625674,0.9663818562020496,0.9656339219625674,0.978,0.09373068809509277,3366,5766,234,91
80,2,14,12,576,0.9951005688940313,0.9657396637411442,0.966495113246053,0.9657396637411442,0.9805,0.10934853553771973,3367,5766,234,90
81,3,4,6,13608,0.999122456850834,0.9882626625779846,0.9882952637030732,0.9882626625779846,1.0,2.3777520656585693,3414,5932,68,43
82,3,4,8,18144,0.9993468325137403,0.9890028550280215,0.9890257122819803,0.9890028550280215,1.0,3.299215793609619,3415,5938,62,42
83,3,4,9,20412,0.9992762510847556,0.9895315639209051,0.9895492572636164,0.9895315639209051,1.0,3.6995809078216553,3416,5942,58,41
84,3,4,10,22680,0.9992769742551344,0.9890028550280215,0.9890483921872324,0.9890028550280215,1.0,4.108739614486694,3421,5932,68,36
85,3,4,12,27216,0.999454633111561,0.989954531035212,0.9899921225266402,0.989954531035212,1.0,5.089444160461426,3424,5938,62,33
86,3,5,6,7560,0.9984222350785846,0.9824468647562652,0.9825387527707283,0.9824468647562652,1.0,1.3140158653259277,3396,5895,105,61
87,3,5,8,10080,0.9987497348375277,0.9841387332134927,0.984258523898962,0.9841387332134927,1.0,1.8624961376190186,3409,5898,102,48
88,3,5,9,11340,0.9988023816411147,0.9838215078777625,0.9839320799300298,0.9838215078777625,1.0,1.99912428855896,3406,5898,102,51
89,3,5,10,12600,0.9989353967794813,0.9853018927778365,0.9854016307390067,0.9853018927778365,1.0,2.218226194381714,3412,5906,94,45
90,3,5,12,15120,0.9991030758846784,0.9857248598921434,0.9858499678824163,0.9857248598921434,1.0,2.9479451179504395,3418,5904,96,39
91,3,6,6,4752,0.9986297849773407,0.9844559585492227,0.9845646382479909,0.9844559585492227,1.0,1.1334128379821777,3409,5901,99,48
92,3,6,8,6336,0.9990048211358595,0.9858306016707201,0.9858971251418738,0.9858306016707201,1.0,1.1144161224365234,3409,5914,86,48
93,3,6,9,7128,0.9990142705621445,0.9863593105636037,0.9864382129948285,0.9863593105636037,1.0,1.3822288513183594,3414,5914,86,43
94,3,6,10,7920,0.999067785170186,0.9861478270064502,0.9862389955614839,0.9861478270064502,1.0,1.4030022621154785,3415,5911,89,42
95,3,6,12,9504,0.999266174910809,0.9866765358993338,0.9867518468409386,0.9866765358993338,1.0,1.778360366821289,3415,5916,84,42
96,3,7,6,3402,0.9976822871468517,0.9783229353917733,0.9784725797083365,0.9783229353917733,1.0,0.699321985244751,3383,5869,131,74
97,3,7,8,4536,0.9983208465914569,0.9810722216347679,0.9811773939451772,0.9810722216347679,1.0,0.8934705257415771,3391,5887,113,66
98,3,7,9,5103,0.9981340757882557,0.9807549962990377,0.9809324229773349,0.9807549962990377,1.0,1.0218191146850586,3399,5876,124,58
99,3,7,10,5670,0.9983918619226689,0.9824468647562652,0.9825791750297855,0.9824468647562652,1.0,0.9981951713562012,3402,5889,111,55
100,3,7,12,6804,0.9986115128724327,0.9824468647562652,0.9826097546814253,0.9824468647562652,1.0,1.2907207012176514,3406,5885,115,51
101,3,8,6,2592,0.9978110596856619,0.9812837051919213,0.9813754674706995,0.9812837051919213,0.9995,0.4697864055633545,3390,5890,110,67
102,3,8,8,3456,0.9983221000867805,0.9831870572063022,0.9833063583383862,0.9831870572063022,1.0,0.6923093795776367,3404,5894,106,53
103,3,8,9,3888,0.998231703789413,0.9808607380776144,0.9809801411128778,0.9808607380776144,1.0,0.7280187606811523,3392,5884,116,65
104,3,8,10,4320,0.9985,0.9829755736491488,0.9830955290752584,0.9829755736491488,1.0,0.8287227153778076,3403,5893,107,54
105,3,8,12,5184,0.998403095169222,0.9814951887490747,0.981634317497228,0.9814951887490747,1.0,1.0853044986724854,3398,5884,116,59
106,3,9,6,1620,0.9954340468614407,0.9685946917627154,0.9691650900757489,0.9685946917627154,0.9893333333333333,0.34168100357055664,3370,5790,210,87
107,3,9,8,2160,0.9967619805226112,0.9743047478058581,0.9747047352745126,0.9743047478058581,0.994,0.4147219657897949,3387,5827,173,70
108,3,9,9,2430,0.9968021405843217,0.9733530717986677,0.9736814397152305,0.9733530717986677,0.995,0.488922119140625,3376,5829,171,81
109,3,9,10,2700,0.9967833863658278,0.9732473300200909,0.9736410293371484,0.9732473300200909,0.9968333333333333,0.5096602439880371,3381,5823,177,76
110,3,9,12,3240,0.9968233535821038,0.973987522470128,0.9742905797219923,0.973987522470128,0.9973333333333333,0.6243400573730469,3377,5834,166,80
111,3,10,6,1296,0.9982609680840806,0.979168869620387,0.9794214435056786,0.979168869620387,0.9916666666666667,0.24999523162841797,3399,5861,139,58
112,3,10,8,1728,0.9984437855558769,0.9801205456275774,0.9803176261836919,0.9801205456275774,0.995,0.30608296394348145,3398,5871,129,59
113,3,10,9,1944,0.9986383665991707,0.9811779634133446,0.981329616128511,0.9811779634133446,0.996,0.374312162399292,3398,5881,119,59
114,3,10,10,2160,0.9985320605534664,0.9808607380776144,0.9810336049707603,0.9808607380776144,0.9976666666666667,0.4114830493927002,3399,5877,123,58
115,3,10,12,2592,0.9983884389162085,0.9801205456275774,0.9803542599173947,0.9801205456275774,0.9986666666666667,0.5508027076721191,3402,5867,133,55
116,3,14,6,324,0.9894157747565328,0.9494554298403299,0.9507324366865977,0.9494554298403299,0.9616666666666667,0.06881880760192871,3310,5669,331,147
117,3,14,8,432,0.9935983993828945,0.9624616686052659,0.9632680339953097,0.9624616686052659,0.9681666666666666,0.08737993240356445,3353,5749,251,104
118,3,14,9,486,0.993892922572558,0.9614042508194988,0.962253919773867,0.9614042508194988,0.9731666666666666,0.07816195487976074,3350,5742,258,107
119,3,14,10,540,0.9944838974062289,0.9645765041768003,0.9654358581612104,0.9645765041768003,0.973,0.12894630432128906,3367,5755,245,90
120,3,14,12,648,0.9946989200655674,0.9634133446124564,0.9643641815369064,0.9634133446124564,0.9756666666666667,0.11249828338623047,3366,5745,255,91
121,4,4,6,21216,0.9990349532349821,0.9874167283493709,0.9874722773056661,0.9874167283493709,1.0,3.8805525302886963,3415,5923,77,42
122,4,4,8,28288,0.9992957766849869,0.9881569207994079,0.9882040693584857,0.9881569207994079,1.0,5.356194734573364,3417,5928,72,40
123,4,4,9,31824,0.9992314627326198,0.9887913714708682,0.9888250598510957,0.9887913714708682,1.0,5.946497917175293,3417,5934,66,40
124,4,4,10,35360,0.9992683926333044,0.9885798879137148,0.988626230772859,0.9885798879137148,1.0,6.7207019329071045,3419,5930,70,38
125,4,4,12,42432,0.9994166425609874,0.9878396954636777,0.9879321472273579,0.9878396954636777,1.0,8.699998617172241,3424,5918,82,33
126,4,5,6,11232,0.9980907337768777,0.9804377709633076,0.9805514741363336,0.9804377709633076,1.0,2.0299155712127686,3389,5883,117,68
127,4,5,8,14976,0.9985839359753158,0.9827640900919954,0.9828711142506555,0.9827640900919954,1.0,2.6102375984191895,3400,5894,106,57
128,4,5,9,16848,0.9986244335165365,0.9825526065348419,0.9827033155604551,0.9825526065348419,1.0,3.0673065185546875,3405,5887,113,52
129,4,5,10,18720,0.9987849291293028,0.9842444749920694,0.9843408949553688,0.9842444749920694,1.0,3.569892168045044,3406,5902,98,51
130,4,5,12,22464,0.9989791726930864,0.9851961509992598,0.9853194992509268,0.9851961509992598,1.0,4.251404762268066,3415,5902,98,42
131,4,6,6,6720,0.9985340372191689,0.9830813154277255,0.9831841639173813,0.9830813154277255,1.0,1.2388255596160889,3401,5896,104,56
132,4,6,8,8960,0.998780011570726,0.9846674421063762,0.984762695090061,0.9846674421063762,1.0,1.6656911373138428,3408,5904,96,49
133,4,6,9,10080,0.9988275479703018,0.9835042825420324,0.9835934316702919,0.9835042825420324,1.0,1.8144667148590088,3401,5900,100,56
134,4,6,10,11200,0.9988648153504964,0.9853018927778365,0.9854146509696641,0.9853018927778365,1.0,2.115257978439331,3414,5904,96,43
135,4,6,12,13440,0.9990171150323016,0.9848789256635296,0.9849998238207629,0.9848789256635296,1.0,2.4107329845428467,3413,5901,99,44
136,4,7,6,4608,0.9974886221193714,0.9767368087131225,0.9768504123742302,0.9767368087131225,1.0,0.8141508102416992,3370,5867,133,87
137,4,7,8,6144,0.997957622215794,0.9781114518346199,0.9782697371662809,0.9781114518346199,1.0,1.1121490001678467,3383,5867,133,74
138,4,7,9,6912,0.9978922958248964,0.9788516442846569,0.9790034428572173,0.9788516442846569,1.0,1.2322499752044678,3386,5871,129,71
139,4,7,10,7680,0.9981515765114259,0.9800148038490007,0.9801825731396948,0.9800148038490007,1.0,1.3650178909301758,3394,5874,126,63
140,4,7,12,9216,0.998209719409893,0.9807549962990377,0.9809003808722204,0.9807549962990377,1.0,1.6728198528289795,3395,5880,120,62
141,4,8,6,3360,0.9977329090733777,0.9804377709633076,0.9806206302026134,0.9804377709633076,0.9983333333333333,0.5911204814910889,3398,5874,126,59
142,4,8,8,4480,0.9980134991804069,0.9812837051919213,0.9814235349779684,0.9812837051919213,1.0,0.8291211128234863,3397,5883,117,60
143,4,8,9,5040,0.998047150708707,0.9807549962990377,0.9808854432144848,0.9807549962990377,0.9996666666666667,0.9999046325683594,3393,5882,118,64
144,4,8,10,5600,0.9983275479703018,0.9802262874061541,0.980362095222842,0.9802262874061541,1.0,1.0518479347229004,3391,5879,121,66
145,4,8,12,6720,0.99805322533989,0.9790631278418103,0.9791989028722461,0.9790631278418103,1.0,1.2243239879608154,3385,5874,126,72
146,4,9,6,1920,0.9951351846495035,0.9647879877339537,0.9654610465024555,0.9647879877339537,0.9843333333333333,0.340714693069458,3357,5767,233,100
147,4,9,8,2560,0.9964679394465337,0.9716612033414402,0.9722182013399412,0.9716612033414402,0.9901666666666666,0.45439982414245605,3385,5804,196,72
148,4,9,9,2880,0.9966678719506317,0.9701808184413662,0.9707478271046284,0.9701808184413662,0.9916666666666667,0.5300097465515137,3378,5797,203,79
149,4,9,10,3200,0.9966288207501688,0.9704980437770964,0.9709198552243656,0.9704980437770964,0.9925,0.5938625335693359,3369,5809,191,88
150,4,9,12,3840,0.9965232378748432,0.9707095273342498,0.9711558584370963,0.9707095273342498,0.9946666666666667,0.6863083839416504,3372,5808,192,85
151,4,10,6,1440,0.9979942146369685,0.97842867717035,0.9786236697777125,0.97842867717035,0.9896666666666667,0.26490259170532227,3389,5864,136,68
152,4,10,8,1920,0.9983037315591553,0.9789573860632336,0.9791373938033147,0.9789573860632336,0.9941666666666666,0.3217642307281494,3390,5868,132,67
153,4,10,9,2160,0.9984689518850641,0.9803320291847308,0.9804638081289252,0.9803320291847308,0.994,0.3935232162475586,3391,5880,120,66
154,4,10,10,2400,0.9984539099411821,0.9796975785132706,0.9798465264194408,0.9796975785132706,0.9953333333333333,0.45934534072875977,3390,5875,125,67
155,4,10,12,2880,0.9982662713335261,0.9790631278418103,0.9792469935072623,0.9790631278418103,0.9956666666666667,0.5399649143218994,3391,5868,132,66
156,4,14,6,192,0.9862517115032302,0.945331500475838,0.9468383093729086,0.945331500475838,0.9565,0.031245946884155273,3299,5641,359,158
157,4,14,8,256,0.9918337190242021,0.9555884529977794,0.956980087111033,0.9555884529977794,0.9646666666666667,0.0544586181640625,3347,5690,310,110
158,4,14,9,288,0.9923386847941376,0.9578090303478904,0.9590594468059873,0.9578090303478904,0.9686666666666667,0.04686546325683594,3352,5706,294,105
159,4,14,10,320,0.9932767814097,0.959818124140848,0.9610386709943265,0.959818124140848,0.9686666666666667,0.046866655349731445,3361,5716,284,96
160,4,14,12,384,0.9936148876675346,0.9597123823622713,0.960965489177099,0.9597123823622713,0.9705,0.08328008651733398,3362,5714,286,95
