Error Type,Image,Error Occurrences
FN,Individual_Component\test\test_positive\00000003\item_00003428.pnm,117
FP,Individual_Component\test\test_negative\00000004\item_00004839.pnm,184
FP,Individual_Component\test\test_negative\00000005\item_00005384.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001511.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002710.pnm,150
FP,Individual_Component\test\test_negative\00000004\item_00004647.pnm,18
FN,Individual_Component\test\test_positive\00000000\item_00000893.pnm,110
FP,Individual_Component\test\test_negative\00000002\item_00002263.pnm,63
FP,Individual_Component\test\test_negative\00000005\item_00005136.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005322.pnm,49
FP,Individual_Component\test\test_negative\00000002\item_00002724.pnm,99
FN,Individual_Component\test\test_positive\00000001\item_00001489.pnm,13
FN,Individual_Component\test\test_positive\00000001\item_00001612.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004239.pnm,14
FP,Individual_Component\test\test_negative\00000003\item_00003496.pnm,87
FP,Individual_Component\test\test_negative\00000000\item_00000453.pnm,218
FP,Individual_Component\test\test_negative\00000002\item_00002383.pnm,157
FP,Individual_Component\test\test_negative\00000001\item_00001273.pnm,39
FP,Individual_Component\test\test_negative\00000005\item_00005806.pnm,85
FP,Individual_Component\test\test_negative\00000005\item_00005289.pnm,42
FP,Individual_Component\test\test_negative\00000001\item_00001299.pnm,46
FP,Individual_Component\test\test_negative\00000000\item_00000897.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001121.pnm,60
FP,Individual_Component\test\test_negative\00000004\item_00004674.pnm,58
FN,Individual_Component\test\test_positive\00000002\item_00002646.pnm,103
FP,Individual_Component\test\test_negative\00000002\item_00002759.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002589.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005222.pnm,195
FP,Individual_Component\test\test_negative\00000000\item_00000133.pnm,15
FP,Individual_Component\test\test_negative\00000001\item_00001641.pnm,107
FP,Individual_Component\test\test_negative\00000000\item_00000550.pnm,166
FP,Individual_Component\test\test_negative\00000005\item_00005781.pnm,162
FP,Individual_Component\test\test_negative\00000002\item_00002115.pnm,14
FN,Individual_Component\test\test_positive\00000001\item_00001392.pnm,116
FP,Individual_Component\test\test_negative\00000002\item_00002912.pnm,116
FP,Individual_Component\test\test_negative\00000001\item_00001009.pnm,29
FN,Individual_Component\test\test_positive\00000000\item_00000507.pnm,204
FP,Individual_Component\test\test_negative\00000002\item_00002646.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000864.pnm,37
FP,Individual_Component\test\test_negative\00000001\item_00001911.pnm,16
FN,Individual_Component\test\test_positive\00000003\item_00003411.pnm,22
FP,Individual_Component\test\test_negative\00000004\item_00004559.pnm,29
FP,Individual_Component\test\test_negative\00000004\item_00004228.pnm,60
FP,Individual_Component\test\test_negative\00000005\item_00005075.pnm,133
FP,Individual_Component\test\test_negative\00000001\item_00001613.pnm,107
FP,Individual_Component\test\test_negative\00000002\item_00002482.pnm,181
FP,Individual_Component\test\test_negative\00000002\item_00002654.pnm,60
FN,Individual_Component\test\test_positive\00000003\item_00003101.pnm,30
FP,Individual_Component\test\test_negative\00000005\item_00005171.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002168.pnm,16
FP,Individual_Component\test\test_negative\00000005\item_00005279.pnm,48
FP,Individual_Component\test\test_negative\00000005\item_00005690.pnm,126
FP,Individual_Component\test\test_negative\00000002\item_00002717.pnm,38
FP,Individual_Component\test\test_negative\00000003\item_00003959.pnm,23
FP,Individual_Component\test\test_negative\00000002\item_00002744.pnm,37
FP,Individual_Component\test\test_negative\00000002\item_00002627.pnm,18
FN,Individual_Component\test\test_positive\00000001\item_00001251.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003351.pnm,36
FP,Individual_Component\test\test_negative\00000002\item_00002560.pnm,13
FN,Individual_Component\test\test_positive\00000000\item_00000732.pnm,77
FP,Individual_Component\test\test_negative\00000000\item_00000511.pnm,22
FP,Individual_Component\test\test_negative\00000002\item_00002031.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004664.pnm,63
FP,Individual_Component\test\test_negative\00000000\item_00000874.pnm,17
FN,Individual_Component\test\test_positive\00000002\item_00002387.pnm,195
FN,Individual_Component\test\test_positive\00000002\item_00002690.pnm,54
FN,Individual_Component\test\test_positive\00000001\item_00001319.pnm,117
FP,Individual_Component\test\test_negative\00000000\item_00000018.pnm,107
FP,Individual_Component\test\test_negative\00000002\item_00002080.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002927.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004552.pnm,7
FP,Individual_Component\test\test_negative\00000003\item_00003504.pnm,145
FN,Individual_Component\test\test_positive\00000000\item_00000053.pnm,211
FN,Individual_Component\test\test_positive\00000002\item_00002621.pnm,14
FN,Individual_Component\test\test_positive\00000002\item_00002370.pnm,7
FP,Individual_Component\test\test_negative\00000003\item_00003562.pnm,32
FN,Individual_Component\test\test_positive\00000000\item_00000531.pnm,13
FN,Individual_Component\test\test_positive\00000002\item_00002565.pnm,107
FN,Individual_Component\test\test_positive\00000000\item_00000945.pnm,17
FP,Individual_Component\test\test_negative\00000000\item_00000525.pnm,51
FP,Individual_Component\test\test_negative\00000000\item_00000058.pnm,163
FP,Individual_Component\test\test_negative\00000000\item_00000570.pnm,63
FP,Individual_Component\test\test_negative\00000000\item_00000294.pnm,56
FN,Individual_Component\test\test_positive\00000000\item_00000082.pnm,44
FP,Individual_Component\test\test_negative\00000001\item_00001051.pnm,74
FP,Individual_Component\test\test_negative\00000001\item_00001588.pnm,36
FP,Individual_Component\test\test_negative\00000002\item_00002051.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000274.pnm,78
FN,Individual_Component\test\test_positive\00000002\item_00002535.pnm,54
FP,Individual_Component\test\test_negative\00000003\item_00003418.pnm,252
FP,Individual_Component\test\test_negative\00000000\item_00000037.pnm,53
FP,Individual_Component\test\test_negative\00000002\item_00002436.pnm,173
FP,Individual_Component\test\test_negative\00000001\item_00001134.pnm,236
FP,Individual_Component\test\test_negative\00000000\item_00000367.pnm,62
FP,Individual_Component\test\test_negative\00000001\item_00001072.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004636.pnm,30
FP,Individual_Component\test\test_negative\00000000\item_00000439.pnm,61
FP,Individual_Component\test\test_negative\00000003\item_00003058.pnm,153
FP,Individual_Component\test\test_negative\00000000\item_00000756.pnm,79
FP,Individual_Component\test\test_negative\00000003\item_00003232.pnm,58
FP,Individual_Component\test\test_negative\00000005\item_00005583.pnm,155
FP,Individual_Component\test\test_negative\00000001\item_00001478.pnm,196
FP,Individual_Component\test\test_negative\00000005\item_00005424.pnm,25
FN,Individual_Component\test\test_positive\00000001\item_00001522.pnm,41
FP,Individual_Component\test\test_negative\00000005\item_00005265.pnm,46
FP,Individual_Component\test\test_negative\00000003\item_00003118.pnm,17
FP,Individual_Component\test\test_negative\00000004\item_00004227.pnm,151
FN,Individual_Component\test\test_positive\00000002\item_00002980.pnm,132
FP,Individual_Component\test\test_negative\00000003\item_00003276.pnm,34
FP,Individual_Component\test\test_negative\00000004\item_00004888.pnm,159
FP,Individual_Component\test\test_negative\00000000\item_00000687.pnm,126
FP,Individual_Component\test\test_negative\00000004\item_00004721.pnm,21
FP,Individual_Component\test\test_negative\00000003\item_00003394.pnm,198
FP,Individual_Component\test\test_negative\00000005\item_00005186.pnm,37
FN,Individual_Component\test\test_positive\00000000\item_00000182.pnm,118
FP,Individual_Component\test\test_negative\00000000\item_00000185.pnm,7
FP,Individual_Component\test\test_negative\00000003\item_00003617.pnm,91
FP,Individual_Component\test\test_negative\00000005\item_00005600.pnm,22
FP,Individual_Component\test\test_negative\00000002\item_00002294.pnm,7
FP,Individual_Component\test\test_negative\00000000\item_00000332.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002331.pnm,76
FP,Individual_Component\test\test_negative\00000003\item_00003520.pnm,157
FN,Individual_Component\test\test_positive\00000001\item_00001336.pnm,53
FP,Individual_Component\test\test_negative\00000002\item_00002592.pnm,19
FP,Individual_Component\test\test_negative\00000001\item_00001581.pnm,256
FP,Individual_Component\test\test_negative\00000005\item_00005699.pnm,51
FP,Individual_Component\test\test_negative\00000002\item_00002569.pnm,91
FP,Individual_Component\test\test_negative\00000000\item_00000233.pnm,144
FP,Individual_Component\test\test_negative\00000002\item_00002554.pnm,150
FP,Individual_Component\test\test_negative\00000000\item_00000200.pnm,9
FP,Individual_Component\test\test_negative\00000002\item_00002542.pnm,20
FP,Individual_Component\test\test_negative\00000000\item_00000213.pnm,109
FN,Individual_Component\test\test_positive\00000001\item_00001719.pnm,45
FP,Individual_Component\test\test_negative\00000002\item_00002475.pnm,107
FN,Individual_Component\test\test_positive\00000002\item_00002014.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002235.pnm,7
FP,Individual_Component\test\test_negative\00000004\item_00004959.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002636.pnm,51
FN,Individual_Component\test\test_positive\00000000\item_00000313.pnm,162
FN,Individual_Component\test\test_positive\00000002\item_00002066.pnm,74
FN,Individual_Component\test\test_positive\00000002\item_00002325.pnm,12
FP,Individual_Component\test\test_negative\00000005\item_00005438.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000526.pnm,21
FP,Individual_Component\test\test_negative\00000005\item_00005278.pnm,100
FN,Individual_Component\test\test_positive\00000001\item_00001674.pnm,99
FP,Individual_Component\test\test_negative\00000003\item_00003541.pnm,125
FN,Individual_Component\test\test_positive\00000001\item_00001668.pnm,53
FP,Individual_Component\test\test_negative\00000003\item_00003862.pnm,78
FP,Individual_Component\test\test_negative\00000005\item_00005347.pnm,45
FN,Individual_Component\test\test_positive\00000002\item_00002009.pnm,5
FP,Individual_Component\test\test_negative\00000001\item_00001845.pnm,51
FP,Individual_Component\test\test_negative\00000001\item_00001148.pnm,167
FP,Individual_Component\test\test_negative\00000001\item_00001060.pnm,22
FP,Individual_Component\test\test_negative\00000000\item_00000108.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001179.pnm,157
FP,Individual_Component\test\test_negative\00000004\item_00004127.pnm,47
FP,Individual_Component\test\test_negative\00000002\item_00002325.pnm,106
FN,Individual_Component\test\test_positive\00000001\item_00001494.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005673.pnm,120
FN,Individual_Component\test\test_positive\00000001\item_00001914.pnm,74
FP,Individual_Component\test\test_negative\00000001\item_00001637.pnm,48
FP,Individual_Component\test\test_negative\00000004\item_00004355.pnm,12
FP,Individual_Component\test\test_negative\00000005\item_00005598.pnm,224
FP,Individual_Component\test\test_negative\00000003\item_00003770.pnm,35
FN,Individual_Component\test\test_positive\00000003\item_00003097.pnm,139
FP,Individual_Component\test\test_negative\00000004\item_00004425.pnm,113
FN,Individual_Component\test\test_positive\00000003\item_00003188.pnm,56
FP,Individual_Component\test\test_negative\00000001\item_00001795.pnm,11
FP,Individual_Component\test\test_negative\00000003\item_00003315.pnm,26
FP,Individual_Component\test\test_negative\00000000\item_00000408.pnm,75
FP,Individual_Component\test\test_negative\00000000\item_00000632.pnm,105
FN,Individual_Component\test\test_positive\00000002\item_00002772.pnm,76
FP,Individual_Component\test\test_negative\00000000\item_00000224.pnm,15
FN,Individual_Component\test\test_positive\00000000\item_00000488.pnm,201
FP,Individual_Component\test\test_negative\00000001\item_00001648.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003070.pnm,195
FN,Individual_Component\test\test_positive\00000000\item_00000269.pnm,23
FP,Individual_Component\test\test_negative\00000005\item_00005350.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000004.pnm,228
FN,Individual_Component\test\test_positive\00000002\item_00002241.pnm,11
FN,Individual_Component\test\test_positive\00000002\item_00002848.pnm,46
FN,Individual_Component\test\test_positive\00000002\item_00002448.pnm,14
FP,Individual_Component\test\test_negative\00000004\item_00004876.pnm,15
FP,Individual_Component\test\test_negative\00000003\item_00003412.pnm,39
FN,Individual_Component\test\test_positive\00000002\item_00002253.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002198.pnm,108
FN,Individual_Component\test\test_positive\00000001\item_00001098.pnm,12
FP,Individual_Component\test\test_negative\00000005\item_00005119.pnm,180
FN,Individual_Component\test\test_positive\00000002\item_00002994.pnm,17
FN,Individual_Component\test\test_positive\00000003\item_00003191.pnm,64
FP,Individual_Component\test\test_negative\00000000\item_00000998.pnm,9
FN,Individual_Component\test\test_positive\00000001\item_00001136.pnm,114
FN,Individual_Component\test\test_positive\00000002\item_00002012.pnm,131
FN,Individual_Component\test\test_positive\00000002\item_00002383.pnm,65
FN,Individual_Component\test\test_positive\00000001\item_00001591.pnm,29
FP,Individual_Component\test\test_negative\00000005\item_00005419.pnm,136
FP,Individual_Component\test\test_negative\00000000\item_00000515.pnm,165
FP,Individual_Component\test\test_negative\00000001\item_00001419.pnm,75
FP,Individual_Component\test\test_negative\00000003\item_00003757.pnm,245
FP,Individual_Component\test\test_negative\00000003\item_00003612.pnm,237
FP,Individual_Component\test\test_negative\00000004\item_00004107.pnm,55
FP,Individual_Component\test\test_negative\00000003\item_00003183.pnm,43
FN,Individual_Component\test\test_positive\00000000\item_00000338.pnm,9
FP,Individual_Component\test\test_negative\00000002\item_00002728.pnm,181
FN,Individual_Component\test\test_positive\00000001\item_00001524.pnm,34
FP,Individual_Component\test\test_negative\00000000\item_00000693.pnm,84
FN,Individual_Component\test\test_positive\00000002\item_00002768.pnm,38
FN,Individual_Component\test\test_positive\00000000\item_00000966.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001951.pnm,217
FP,Individual_Component\test\test_negative\00000005\item_00005319.pnm,100
FN,Individual_Component\test\test_positive\00000002\item_00002590.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005643.pnm,17
FP,Individual_Component\test\test_negative\00000004\item_00004801.pnm,81
FP,Individual_Component\test\test_negative\00000002\item_00002831.pnm,16
FP,Individual_Component\test\test_negative\00000001\item_00001669.pnm,25
FP,Individual_Component\test\test_negative\00000000\item_00000975.pnm,112
FN,Individual_Component\test\test_positive\00000003\item_00003177.pnm,45
FN,Individual_Component\test\test_positive\00000001\item_00001581.pnm,63
FN,Individual_Component\test\test_positive\00000001\item_00001810.pnm,174
FP,Individual_Component\test\test_negative\00000005\item_00005832.pnm,81
FP,Individual_Component\test\test_negative\00000000\item_00000456.pnm,53
FP,Individual_Component\test\test_negative\00000001\item_00001154.pnm,21
FP,Individual_Component\test\test_negative\00000004\item_00004854.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002234.pnm,32
FP,Individual_Component\test\test_negative\00000004\item_00004716.pnm,139
FN,Individual_Component\test\test_positive\00000002\item_00002950.pnm,177
FN,Individual_Component\test\test_positive\00000001\item_00001895.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000980.pnm,70
FP,Individual_Component\test\test_negative\00000005\item_00005297.pnm,33
FP,Individual_Component\test\test_negative\00000004\item_00004593.pnm,103
FP,Individual_Component\test\test_negative\00000000\item_00000530.pnm,201
FP,Individual_Component\test\test_negative\00000003\item_00003237.pnm,119
FN,Individual_Component\test\test_positive\00000001\item_00001636.pnm,49
FN,Individual_Component\test\test_positive\00000001\item_00001998.pnm,21
FP,Individual_Component\test\test_negative\00000002\item_00002458.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002520.pnm,47
FN,Individual_Component\test\test_positive\00000002\item_00002695.pnm,67
FP,Individual_Component\test\test_negative\00000000\item_00000386.pnm,33
FP,Individual_Component\test\test_negative\00000001\item_00001936.pnm,38
FN,Individual_Component\test\test_positive\00000001\item_00001685.pnm,68
FP,Individual_Component\test\test_negative\00000003\item_00003653.pnm,54
FP,Individual_Component\test\test_negative\00000002\item_00002735.pnm,87
FP,Individual_Component\test\test_negative\00000001\item_00001661.pnm,75
FP,Individual_Component\test\test_negative\00000002\item_00002151.pnm,44
FN,Individual_Component\test\test_positive\00000001\item_00001699.pnm,23
FP,Individual_Component\test\test_negative\00000004\item_00004271.pnm,78
FP,Individual_Component\test\test_negative\00000000\item_00000324.pnm,66
FP,Individual_Component\test\test_negative\00000002\item_00002193.pnm,49
FP,Individual_Component\test\test_negative\00000001\item_00001906.pnm,11
FP,Individual_Component\test\test_negative\00000003\item_00003730.pnm,73
FP,Individual_Component\test\test_negative\00000000\item_00000120.pnm,76
FN,Individual_Component\test\test_positive\00000002\item_00002884.pnm,131
FN,Individual_Component\test\test_positive\00000000\item_00000738.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003261.pnm,31
FP,Individual_Component\test\test_negative\00000003\item_00003043.pnm,12
FP,Individual_Component\test\test_negative\00000003\item_00003932.pnm,62
FP,Individual_Component\test\test_negative\00000004\item_00004650.pnm,15
FN,Individual_Component\test\test_positive\00000002\item_00002029.pnm,136
FN,Individual_Component\test\test_positive\00000000\item_00000997.pnm,57
FP,Individual_Component\test\test_negative\00000004\item_00004464.pnm,15
FN,Individual_Component\test\test_positive\00000001\item_00001166.pnm,25
FP,Individual_Component\test\test_negative\00000001\item_00001385.pnm,81
FN,Individual_Component\test\test_positive\00000003\item_00003154.pnm,41
FP,Individual_Component\test\test_negative\00000005\item_00005197.pnm,96
FP,Individual_Component\test\test_negative\00000005\item_00005180.pnm,72
FP,Individual_Component\test\test_negative\00000005\item_00005580.pnm,21
FN,Individual_Component\test\test_positive\00000001\item_00001869.pnm,58
FN,Individual_Component\test\test_positive\00000000\item_00000506.pnm,131
FN,Individual_Component\test\test_positive\00000001\item_00001444.pnm,24
FP,Individual_Component\test\test_negative\00000000\item_00000776.pnm,109
FP,Individual_Component\test\test_negative\00000000\item_00000201.pnm,22
FP,Individual_Component\test\test_negative\00000003\item_00003446.pnm,78
FP,Individual_Component\test\test_negative\00000003\item_00003285.pnm,100
FP,Individual_Component\test\test_negative\00000005\item_00005274.pnm,211
FN,Individual_Component\test\test_positive\00000002\item_00002799.pnm,133
FN,Individual_Component\test\test_positive\00000001\item_00001504.pnm,148
FP,Individual_Component\test\test_negative\00000002\item_00002461.pnm,124
FP,Individual_Component\test\test_negative\00000005\item_00005834.pnm,35
FP,Individual_Component\test\test_negative\00000004\item_00004696.pnm,71
FP,Individual_Component\test\test_negative\00000003\item_00003979.pnm,104
FP,Individual_Component\test\test_negative\00000003\item_00003954.pnm,92
FP,Individual_Component\test\test_negative\00000001\item_00001242.pnm,58
FP,Individual_Component\test\test_negative\00000000\item_00000193.pnm,106
FN,Individual_Component\test\test_positive\00000003\item_00003403.pnm,33
FP,Individual_Component\test\test_negative\00000002\item_00002366.pnm,78
FP,Individual_Component\test\test_negative\00000001\item_00001530.pnm,26
FP,Individual_Component\test\test_negative\00000000\item_00000483.pnm,127
FN,Individual_Component\test\test_positive\00000001\item_00001715.pnm,85
FP,Individual_Component\test\test_negative\00000000\item_00000297.pnm,98
FP,Individual_Component\test\test_negative\00000003\item_00003852.pnm,173
FN,Individual_Component\test\test_positive\00000001\item_00001689.pnm,122
FP,Individual_Component\test\test_negative\00000002\item_00002403.pnm,13
FP,Individual_Component\test\test_negative\00000003\item_00003377.pnm,53
FN,Individual_Component\test\test_positive\00000000\item_00000311.pnm,15
FP,Individual_Component\test\test_negative\00000002\item_00002697.pnm,35
FP,Individual_Component\test\test_negative\00000002\item_00002674.pnm,135
FN,Individual_Component\test\test_positive\00000000\item_00000933.pnm,212
FP,Individual_Component\test\test_negative\00000001\item_00001348.pnm,251
FP,Individual_Component\test\test_negative\00000001\item_00001862.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002288.pnm,81
FP,Individual_Component\test\test_negative\00000003\item_00003160.pnm,93
FP,Individual_Component\test\test_negative\00000005\item_00005736.pnm,85
FP,Individual_Component\test\test_negative\00000001\item_00001278.pnm,81
FP,Individual_Component\test\test_negative\00000001\item_00001819.pnm,45
FN,Individual_Component\test\test_positive\00000001\item_00001528.pnm,32
FP,Individual_Component\test\test_negative\00000000\item_00000342.pnm,41
FP,Individual_Component\test\test_negative\00000005\item_00005142.pnm,13
FP,Individual_Component\test\test_negative\00000003\item_00003317.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001418.pnm,67
FP,Individual_Component\test\test_negative\00000004\item_00004521.pnm,21
FP,Individual_Component\test\test_negative\00000003\item_00003112.pnm,117
FP,Individual_Component\test\test_negative\00000001\item_00001194.pnm,42
FN,Individual_Component\test\test_positive\00000001\item_00001720.pnm,11
FN,Individual_Component\test\test_positive\00000003\item_00003325.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001952.pnm,19
FN,Individual_Component\test\test_positive\00000000\item_00000176.pnm,79
FN,Individual_Component\test\test_positive\00000002\item_00002992.pnm,63
FP,Individual_Component\test\test_negative\00000000\item_00000296.pnm,31
FN,Individual_Component\test\test_positive\00000002\item_00002670.pnm,29
FN,Individual_Component\test\test_positive\00000002\item_00002306.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002499.pnm,19
